x1,x2,x3
3,0,B
4,0,B
5,0,B
-5,1,B
-4,1,B
-3,1,B
-2,1,B
-1,1,B
0,1,B
1,1,B
2,1,B
3,1,B
4,1,B
5,1,B
-5,2,B
-4,2,B
-3,2,B
-2,2,B
-1,2,B
0,2,B
1,2,B
2,2,B
3,2,B
4,2,B
5,2,B
-5,3,B
-4,3,B
-3,3,B
-2,3,B
-1,3,B
0,3,B
1,3,B
2,3,B
3,3,B
4,3,B
5,3,B
-5,4,B
-4,4,B
-3,4,B
-2,4,B
-1,4,B
0,4,B
1,4,B
2,4,B
3,4,B
4,4,B
5,4,B
-5,5,B
-4,5,B
-3,5,B
-2,5,B
-1,5,B
0,5,B
1,5,B
2,5,B
3,5,B
4,5,B
5,5,B
-5,-5,C
-4,-5,C
-3,-5,C
-2,-5,C
-1,-5,C
0,-5,C
1,-5,C
2,-5,C
3,-5,C
4,-5,C
5,-5,C
-5,-4,C
-4,-4,C
-3,-4,C
-2,-4,C
-1,-4,C
0,-4,C
1,-4,C
2,-4,C
3,-4,C
4,-4,C
5,-4,C
-5,-3,C
-4,-3,C
-3,-3,C
-2,-3,C
-1,-3,C
0,-3,C
1,-3,C
2,-3,C
3,-3,C
4,-3,C
5,-3,C
-5,-2,C
-4,-2,C
-3,-2,C
-2,-2,C
-1,-2,C
0,-2,C
1,-2,C
2,-2,C
3,-2,C
4,-2,C
5,-2,C
-5,-1,C
-4,-1,C
-3,-1,C
-2,-1,C
-1,-1,C
0,-1,C
1,-1,C
2,-1,C
3,-1,C
4,-1,C
5,-1,C
-5,0,C
-4,0,C
-3,0,C
-2,0,C
-1,0,C
0,0,C
1,0,C
2,0,C
3,0,C
4,0,C
5,0,C
-5,1,C
-4,1,C
-3,1,C
-2,1,C
-1,1,C
0,1,C
1,1,C
2,1,C
3,1,C
4,1,C
5,1,C
-5,2,C
-4,2,C
-3,2,C
-2,2,C
-1,2,C
0,2,C
1,2,C
2,2,C
3,2,C
4,2,C
5,2,C
-5,3,C
-4,3,C
-3,3,C
-2,3,C
-1,3,C
0,3,C
1,3,C
2,3,C
3,3,C
4,3,C
5,3,C
-5,4,C
-4,4,C
-3,4,C
-2,4,C
-1,4,C
0,4,C
1,4,C
2,4,C
3,4,C
4,4,C
5,4,C
-5,5,C
-4,5,C
-3,5,C
-2,5,C
-1,5,C
0,5,C
1,5,C
2,5,C
3,5,C
4,5,C
5,5,C
-5,-5,D
-4,-5,D
-3,-5,D
-2,-5,D
-1,-5,D
0,-5,D
1,-5,D
2,-5,D
3,-5,D
4,-5,D
5,-5,D
-5,-4,D
-4,-4,D
-3,-4,D
-2,-4,D
-1,-4,D
0,-4,D
1,-4,D
2,-4,D
3,-4,D
4,-4,D
5,-4,D
-5,-3,D
-4,-3,D
-3,-3,D
-2,-3,D
-1,-3,D
0,-3,D
1,-3,D
2,-3,D
3,-3,D
4,-3,D
5,-3,D
-5,-2,D
-4,-2,D
-3,-2,D
-2,-2,D
-1,-2,D
0,-2,D
1,-2,D
2,-2,D
3,-2,D
4,-2,D
5,-2,D
-5,-1,D
-4,-1,D
-3,-1,D
-2,-1,D
-1,-1,D
0,-1,D
1,-1,D
2,-1,D
3,-1,D
4,-1,D
5,-1,D
-5,0,D
-4,0,D
-3,0,D
-2,0,D
-1,0,D
0,0,D
1,0,D
2,0,D
3,0,D
4,0,D
5,0,D
-5,1,D
-4,1,D
-3,1,D
-2,1,D
-1,1,D
0,1,D
1,1,D
2,1,D
3,1,D
4,1,D
5,1,D
-5,2,D
-4,2,D
-3,2,D
-2,2,D
-1,2,D
0,2,D
1,2,D
2,2,D
3,2,D
4,2,D
5,2,D
-5,3,D
-4,3,D
-3,3,D
-2,3,D
-1,3,D
0,3,D
1,3,D
2,3,D
3,3,D
4,3,D
5,3,D
-5,4,D
-4,4,D
-3,4,D
-2,4,D
-1,4,D
0,4,D
1,4,D
2,4,D
3,4,D
4,4,D
5,4,D
-5,5,D
-4,5,D
-3,5,D
-2,5,D
-1,5,D
0,5,D
1,5,D
2,5,D
3,5,D
4,5,D
5,5,D
