x,y,w,v,m
1.3125,0.4375,1.118033988749895,1.75,B
1.75,0,1.4142135623730951,1.75,B
-2,0,1.4142135623730951,2,B
-1.5,-0.5,1.118033988749895,2,B
-1,-1,1,2,B
-0.5,-1.5,1.118033988749895,2,B
0,-2,1.4142135623730951,2,B
-1.5,0.5,1.118033988749895,2,B
0.5,-1.5,1.118033988749895,2,B
-1,1,1,2,B
1,-1,1,2,B
-0.5,1.5,1.118033988749895,2,B
1.5,-0.5,1.118033988749895,2,B
0,2,1.4142135623730951,2,B
0.5,1.5,1.118033988749895,2,B
1,1,1,2,B
1.5,0.5,1.118033988749895,2,B
2,0,1.4142135623730951,2,B
-2.25,0,1.4142135623730951,2.25,B
-1.6875,-0.5625,1.118033988749895,2.25,B
-1.125,-1.125,1,2.25,B
-0.5625,-1.6875,1.118033988749895,2.25,B
0,-2.25,1.4142135623730951,2.25,B
-1.6875,0.5625,1.118033988749895,2.25,B
0.5625,-1.6875,1.118033988749895,2.25,B
-1.125,1.125,1,2.25,B
1.125,-1.125,1,2.25,B
-0.5625,1.6875,1.118033988749895,2.25,B
1.6875,-0.5625,1.118033988749895,2.25,B
0,2.25,1.4142135623730951,2.25,B
0.5625,1.6875,1.118033988749895,2.25,B
1.125,1.125,1,2.25,B
1.6875,0.5625,1.118033988749895,2.25,B
2.25,0,1.4142135623730951,2.25,B
-2.5,0,1.4142135623730951,2.5,B
-1.875,-0.625,1.118033988749895,2.5,B
-1.25,-1.25,1,2.5,B
-0.625,-1.875,1.118033988749895,2.5,B
0,-2.5,1.4142135623730951,2.5,B
-1.875,0.625,1.118033988749895,2.5,B
0.625,-1.875,1.118033988749895,2.5,B
-1.25,1.25,1,2.5,B
1.25,-1.25,1,2.5,B
-0.625,1.875,1.118033988749895,2.5,B
1.875,-0.625,1.118033988749895,2.5,B
0,2.5,1.4142135623730951,2.5,B
0.625,1.875,1.118033988749895,2.5,B
1.25,1.25,1,2.5,B
1.875,0.625,1.118033988749895,2.5,B
2.5,0,1.4142135623730951,2.5,B
